"student_id","final_score","grade","pass_fail","previous_score","math_prev_score","science_prev_score","language_prev_score","daily_study_hours","attendance_percentage","homework_completion_rate","sleep_hours","screen_time_hours","physical_activity_minutes","motivation_score","exam_anxiety_score","parent_education_level","study_environment"
"S0001",60.1372408,"D",1,60.5997065366049,61.4882115412712,53.5681192182458,64.9722919072676,1.42720281600945,75.7384054,68.53437138,6.80935214396213,3.31309635966865,65.059424803337,4.15002467710355,6.10410300996788,"Master","Noisy"
"S0002",99.0219765001139,"A",1,92.2892868525454,85.6125650589949,91.8737589894019,89.040460718304,4.813611518,89.6027363018796,91.9901971862817,5.56779347816611,4.92535930781756,76.0166171621431,8.71469290236253,1.9823580764772,"High School","Quiet"
"S0003",70.5229549222622,"C",1,80.2596667996273,82.16065605,72.7360649294723,74.2436625226816,1.24090777960119,81.4954255712819,69.66966629,6.7028749604233,5.107888459,113.616872423114,5.92821973444522,4.46366152780036,"High School","Moderate"
"S0004",63.448537269766,"D",1,72.926216630837,75.9791453572561,76.726496449285,67.71599457,2.19060111027312,71.4720470228615,71.97675743,7.85443856805934,3.77244557160585,108.686690419996,4.22492774121796,4.74047429917539,"High School","Noisy"
"S0005",66.4830187712676,"C",1,48.581025224334,51.3799774639892,48.9932239890065,46.1450106183594,2.19226480468002,64.27658206,68.9405910069558,7.66242889881889,1.89898906747538,42.1072943060266,9.5068152412575,1.14385238753458,"Master","Quiet"
"S0006",49.088060589917,"F",0,48.5796986184911,53.9836022462643,41.2919411211665,46.82009203,2.28160514456086,61.6243972991664,71.3201425834714,7.30293041309039,3.3387911547879,45.5510686694217,4.8378539812575,5.58805698584391,"Bachelor","Noisy"
"S0007",48.4532340023199,"F",0,43.194598669251,47.3642094419955,41.6485532840017,39.3446183382637,1.65714737308964,59.8769795511044,70.61607007786,6.53411389871303,5.84036251454839,62.187649463002,7.31067570235417,1.61865789145565,"Master","Quiet"
"S0008",84.6135761243998,"B",1,87.6396880176214,89.9355884137636,83.8789059896685,81.159104696372,4.13264572369479,81.9471732550595,88.40418078,6.76904404538242,4.76493096519593,56.1669479301607,5.64432524457729,3.57135378512246,"Bachelor","Quiet"
"S0009",66.451908607436,"C",1,73.0613256458765,72.7104970885832,74.6571981979724,70.7807215085055,1.48999144786396,71.631034949027,61.1531260315257,6.94908907761535,5.05581301939566,85.32938578,4.39115681310815,6.29733916145342,"Master","Moderate"
"S0010",74.2095095844803,"C",1,78.94399178,70.6391871112025,85.6462440088982,79.8511248793524,3.53962663661265,69.68530294,84.2885833782078,7.84844859236397,1.1641274940962,111.249844298809,4.29953491398027,5.46595755087383,"Master","Quiet"
"S0011",42.7159535635083,"F",0,41.1321471862691,43.2802382819321,31.7562848380404,44.107294515447,1.49538410682327,57.2253583514957,59.0690305043829,6.84187222122212,3.3392973131708,116.606238750533,4.69334019301803,6.89580710861842,"Bachelor","Quiet"
"S0012",76.547557250928,"C",1,93.3450418689097,94.3834803047252,93.9201722646468,90.5579266033681,1.28214255037183,87.6394181940756,71.9241450434273,6.33207384450929,4.23310566828778,88.8242657281704,4.42820208333628,6.0729271927283,"Master","Quiet"
"S0013",97.92513076,"A",1,85.78434524,87.1422394300001,84.98368127,83.719356133306,4.63771801474351,76.1512873948741,93.5452071913614,6.330464147,5.15016341814037,105.434328126098,8.56334869311954,1,"Master","Moderate"
"S0014",56.7318381863675,"D",1,51.6786510873052,45.2949082082036,55.0353514695575,47.0451595430686,1.76051506527482,65.9177367260107,71.7632345836502,7.78315426785118,1.24636826791386,77.2681980207717,6.91339721370058,3.07639718590849,"High School","Quiet"
"S0015",55.2693185479246,"D",1,50.0003731963905,44.5950904943492,51.066356337579,49.8431773445167,4.28500061823882,74.50152872,93.897356600627,6.2633001909757,5.26219442820937,48.7494252174036,6.05735254809388,4.006030845,"Bachelor","Quiet"
"S0016",58.3838347968263,"D",1,50.0872480419389,55.3530123086034,46.3274013832448,45.8451048709848,3.17852348442854,70.1589067972306,76.86256459,7.03456793645285,3.74200468370956,77.221957088413,6.51021346079204,2.76139622596625,"Bachelor","Quiet"
"S0017",53.4724834961444,"D",1,56.7333233627746,56.5355475934913,55.1380536844415,59.5989624289806,1.31142607843508,76.5843692269899,63.0844872382871,7.62360411098612,1.9865698528803,79.9574341293886,9.573680413,1,"High School","Noisy"
"S0018",81.7382445986028,"B",1,68.8616037397731,72.26910723,64.8814744557556,59.9322712801025,4.821792766,76.3864412545502,102.137941554076,7.64070689096054,2.5862760822485,96.8211807792201,9.46451087642888,1.23687901738062,"Bachelor","Moderate"
"S0019",61.0106184493023,"D",1,63.7569760253164,63.8985679059687,69.1370117183094,61.9588276630541,1.987844668,77.7160371275904,68.9371400042442,7.91850315679215,2.4096477587578,49.7894690736614,8.29405888073546,2.55121441630663,"High School","Noisy"
"S0020",84.0949842571972,"B",1,56.0176027108923,56.166383408371,56.124160954252,57.523139406851,4.43858138141043,64.3889777031072,100.351378543359,6.94271515780671,3.65429517144238,63.1479343878059,9.30809426453013,1.29568720502283,"Bachelor","Moderate"
"S0021",63.3945947996169,"D",1,73.6519092097309,78.3433282396109,83.1578626384959,74.57108179,1.67524002313826,73.6042532697555,71.8599771952919,6.96858319755947,1.25842839955566,62.762472229311,5.91788816552575,5.59742992879805,"Bachelor","Moderate"
"S0022",74.75526749,"C",1,47.67216234,45.0919386947754,47.3688582667892,61.1373306557648,4.41577152856741,50.1403801372438,98.7522895589658,7.289643714,1.79268079249962,116.349563616705,6.2866559560497,3.1715708079387,"Bachelor","Noisy"
